"","sitecode","lon","lat","file","records"
"181","UTA","-113.7181","39.9018","co2_uta_surface-flask_1_representative.nc","1044"
"182","UTDBK","-112.0696","40.5384","co2_utdbk_tower-insitu_432_allvalid.nc","69223"
"183","UTMSA","-111.887","40.6546","co2_utmsa_tower-insitu_432_allvalid.nc","22457"
"184","UTMUR","-111.887","40.6546","co2_utmur_tower-insitu_432_allvalid.nc","68796"
"185","UTRPK","-111.9319","40.7944","co2_utrpk_tower-insitu_432_allvalid.nc","44324"
"186","UTSUG","-111.858","40.7397","co2_utsug_tower-insitu_432_allvalid.nc","79469"
"187","UTUOU","-111.8484","40.7634","co2_utuou_tower-insitu_432_allvalid.nc","115523"
"188","UUM","111.0956","44.4516","co2_uum_surface-flask_1_representative.nc","1131"
"189","VAC","-3.2139","42.8786","co2_vac_surface-insitu_431_allvalid.nc","17896"
"190","WAO","1.1219","52.9502","co2_wao_surface-insitu_13_allvalid.nc","51100"
"191","WBI","-91.3529","41.7248","co2_wbi_surface-pfp_1_allvalid.nc","2112"
"192","WGC","-121.4911","38.265","co2_wgc_surface-pfp_1_allvalid.nc","2036"
"193","WIS","35.0605","29.9646","co2_wis_surface-flask_1_representative.nc","1057"
"194","WKT","-97.3269","31.3149","co2_wkt_surface-pfp_1_allvalid.nc","2107"
"195","WLG","100.8964","36.2879","co2_wlg_surface-flask_1_representative.nc","1104"
"196","WPC","-1e+34","-1e+34","co2_wpc_shipboard-flask_1_representative.nc","263"
"197","WSA","-60.0167","43.9333","co2_wsa_surface-insitu_6_allvalid.nc","93923"
"198","XIC","-8.0176","41.9909","co2_xic_surface-insitu_431_allvalid.nc","5553"
"199","YON","123.02","24.47","co2_yon_surface-insitu_19_representative.nc","97993"
"200","ZEP","11.8883","78.9067","co2_zep_surface-insitu_56_allvalid.nc","8346"
